,GEOID,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16
1061,36047114400,364.0397965,493.4231253,508.2061036,924.145309,1061.904244,1019.396705,1081.193369,1439.800078,1809.872451,1871.625541,2089.149427,2187.815866
1062,36047114600,112.0256682,124.0014806,128.1060707,198.0889406,238.3614719,235.159459,259.9305236,304.0177618,384.8994918,388.2803917,471.4780135,486.2546343
1063,36047115000,76.50841482,96.13714154,102.4619535,414.5441686,463.645065,197.8430256,212.5136813,264.9151118,339.8968478,356.4576773,400.1352292,424.5911687
1064,36047115200,80.32605028,100.9350003,107.5750761,435.2063662,486.7552263,207.7167425,223.1192628,278.1378137,356.8613047,374.2481195,420.1053185,445.781182
1065,36047115600,135.4588482,183.6279082,189.1278745,343.4817683,394.755648,379.3202586,402.2959244,535.8031716,673.6571664,696.6328322,777.6242719,814.3498536
1066,36047115800,131.3188012,178.0151527,183.3472399,332.9987606,382.706908,367.7259366,389.9995082,519.4248042,653.0653547,675.3390538,753.8550018,789.4583849
1067,36047116000,73.20550207,91.98686921,98.03862516,396.6473584,443.6284768,189.302079,203.3393886,253.4786916,325.2234316,341.0693091,382.8612822,406.2614329
1068,36047116200,69.35384213,87.14701713,92.88037352,375.778676,420.2879737,179.3420239,192.6407747,240.1419619,308.1118904,323.1240581,362.7171675,384.8861455
1069,36047116400,87.78298255,110.3042723,117.5611323,475.6329562,531.9695454,226.9979178,243.8304966,303.9539989,389.9853256,408.9866211,459.1006613,487.1605201
1070,36047116600,77.06280063,96.83375861,103.2044006,417.5479872,467.0046725,199.2766112,214.0535717,266.8347069,342.3597663,359.0405968,403.0346396,427.6677887
1071,36047116800,69.62679375,87.47667123,93.22849372,376.9326099,421.5919466,180.0045103,193.358215,241.0204069,309.2348637,324.2895279,364.0537565,386.2932669
1072,36047117000,74.36486728,93.44339253,99.59092115,402.9234688,450.6482067,192.2991809,206.5588579,257.4916425,330.3721549,346.4686728,388.9228034,412.6932304
1073,36047117201,90.3661737,100.0266268,103.3376474,159.791883,192.2781353,189.6930818,209.6747907,245.2382046,310.4820943,313.2094326,380.3211844,392.2409498
1074,36047117202,106.2369623,117.5937625,121.4861988,187.8485544,226.0397316,223.0074528,246.4985578,288.3073131,365.0093187,368.215286,447.1140477,461.1268827
1075,36047117400,148.9414935,164.8631775,170.320194,263.3525536,316.8951165,312.6498833,345.58386,404.1981589,511.7319563,516.2263188,626.8406532,646.4859642
1076,36047117601,106.6065608,118.0024345,121.9082783,188.4914277,226.8146482,223.7818754,247.3547916,289.3081494,366.2762482,369.4928255,448.6665773,462.727615
1077,36047117602,100.6205303,111.3765181,115.0630461,177.9075066,214.0788525,211.2163719,233.4656529,273.0633013,345.7095893,348.7455536,423.4736458,436.7451467
1078,36047117800,98.14181917,108.6328412,112.2285544,173.5248889,208.8051808,206.0132153,227.714402,266.336592,337.1932934,340.154469,413.0416907,425.9862582
1079,36047118000,527.2641301,582.9185636,601.5877573,929.2453459,1118.021474,1103.159483,1219.048239,1425.839529,1805.074306,1821.401003,2211.570102,2280.91854
1080,36047118201,88.43559753,97.88905796,101.1291553,156.3632849,188.1543575,185.6385172,205.1934576,239.9959147,303.8448913,306.5132068,372.1918855,383.8562358
1081,36047118202,86.99483032,96.29642231,99.48385324,153.8152576,185.0877615,182.6234714,201.8543793,236.0919566,298.8984911,301.5256815,366.1289313,377.6042773
1082,36047118400,143.4105887,158.746907,164.0015232,253.5630108,305.1147949,301.0656501,332.7608927,389.2040301,492.7375251,497.0713748,603.5627679,622.4811117
1083,36047118600,92.03863504,101.8836284,105.2560916,162.7320374,195.8164424,193.2295284,213.564963,249.7916226,316.2352863,319.0192951,387.3577521,399.5003889
1084,36047118800,122.0152737,135.0591119,139.53052,215.7345038,259.5951685,256.1276942,283.1074946,331.1224208,419.2127892,422.8955648,513.5104973,529.6038201
1085,36047119000,98.19487716,108.7229785,112.3302955,174.384725,209.7433312,206.2267426,227.9334983,266.6377165,337.5868817,340.5887519,413.4793273,426.4702949
1086,36047119200,109.2710617,137.2682976,146.2901708,591.1600059,661.2173131,282.4437108,303.4039283,378.1728893,485.1997841,508.8063344,571.2300328,606.1121966
1087,36047119400,88.39843914,111.0776282,118.3853669,478.9676736,535.699245,228.5894263,245.5400202,306.0850553,392.7195575,411.8540734,462.3194689,490.5760585
1088,36047119600,148.4536811,186.4170424,198.6514895,801.3545241,896.3950871,383.4849006,411.9754313,513.4127181,658.6913368,690.6716847,775.5633823,822.8618559
1089,36047119800,158.0426277,198.5858661,211.6494727,856.2036714,957.6217062,408.6699334,438.9756481,547.214255,702.0963082,736.3004502,826.529595,877.0425335
1090,36047120000,72.7793975,91.44983673,97.46589037,394.3006658,441.0053985,188.1950117,202.150931,251.9952336,323.3196312,339.0713147,380.6218426,403.8838132
1091,36047120200,107.0922362,118.5418738,122.4672498,189.3768224,227.874492,224.8040974,248.4849717,290.6279916,367.9456074,371.1795773,450.7104644,464.8366866
1092,36047120800,233.5877855,293.5177358,312.8116195,1265.334443,1415.194454,603.9778044,648.7535982,808.7078485,1037.587724,1088.158736,1221.500102,1296.158787
1093,36047121000,77.69370405,97.62652436,104.049322,420.9663999,470.8279808,200.9080637,215.8060012,269.0192489,345.1626225,361.9800168,406.3342333,431.1690509
1094,36047121400,82.28487773,103.3955932,110.1979349,445.8426737,498.6507376,212.7803746,228.5586798,284.9164713,365.5594045,383.3705934,430.3458448,456.6482325
1095,36047122000,515.841657,648.2598108,690.2293856,2782.480117,3111.493619,1331.6173,1429.900571,1781.887168,2285.522418,2397.57607,2691.611071,2856.197496
1096,36047123700,2374.846274,2903.937351,2954.827901,4184.535156,3879.443448,4289.27933,4879.738241,5243.56938,5551.103166,5849.313778,6087.622996,6298.572322
1097,36047150200,1469.878622,1515.510113,1643.012753,2917.090138,2656.807846,3025.263487,2388.622598,2485.177957,2598.647088,3779.871694,4612.272186,4066.081062
